fecha_estandar,iva_tendencia,iva_estacional,iva_residuo,pib_tendencia,pib_estacional,pib_residuo
2002-12-01,2552399.9587336285,-2469701.3240494556,1631815.248603827,8061866666.666666,5458820138.888893,-3093486805.5555573
2003-01-01,2613524.574956337,2831052.102447535,-2549424.739354873,8041266666.666666,-2942724305.5555573,1589457638.8888912
2003-02-01,2650724.4848959995,-2238579.2317563733,2244943.426085374,8019816666.666666,-2441215972.2222233,1318399305.5555573
2003-03-01,2658262.8511402467,-705508.1765265567,546610.5373628,7997716666.666666,-1360777083.333335,678060416.6666689
2003-04-01,2663539.3570641303,1633777.2000630703,-1410619.4521792005,7976166666.666667,-859640972.2222232,407474305.5555562
2003-05-01,2666847.301596517,1662445.4948606137,-1645953.1965011307,7954466666.666667,-940413194.4444455,509946527.7777785
2003-06-01,2675269.549687976,1097396.7859525331,-668192.5737204091,7929966666.666666,-397407638.8888886,219440972.22222352
2003-07-01,2713138.5180184757,48928.541928894476,174201.33181353973,7981200000.0,-55379861.111112036,-21820138.888887964
2003-08-01,2722885.7703283094,-1731673.04140598,1498098.0356386704,8112283333.333334,1194118750.0000002,-908402083.3333333
2003-09-01,2729759.8036384974,2010386.4330805237,-1808082.1040241001,8249416666.666667,1124513194.4444444,-975929861.1111104
2003-10-01,2803062.3296978935,-2486405.744737287,1918366.5580336838,8392600000.0,-61729861.111110255,-350870138.8888888
2003-11-01,2879041.2647458934,347880.96014248225,-338999.86006737564,8537800000.0,1281836805.5555573,-1307636805.5555563
2003-12-01,2926645.674097181,-2469701.3240494556,1621600.7733622747,8685200000.0,5458820138.888893,-4036020138.888891
2004-01-01,2957369.650609347,2831052.102447535,-2348445.815197882,8836266666.666668,-2942724305.5555573,2343257638.8888893
2004-02-01,2993134.5009859763,-2238579.2317563733,1591643.465621397,8993566666.666668,-2441215972.2222233,1941849305.5555553
2004-03-01,3039955.492009729,-705508.1765265567,640784.6403118283,9155633333.333334,-1360777083.333335,1214143750.000001
